original_link,section,link,Downloaded File Name,Timestamp
https://www.hooktheory.com/theorytab/view/a-boogie-wit-da-hoodie/drowning,intro,https://hookpad.hooktheory.com?idOfSong=LAgQdLnAmyO&amp;enableYouTube=false&amp;openBandEditorOnInit=true,Drowning.json,2024-03-12 23:43:59
https://www.hooktheory.com/theorytab/view/a-certain-mushroom/imma-write-a-song,instrumental,https://hookpad.hooktheory.com?idOfSong=nvgyqqMZgkA&amp;enableYouTube=false&amp;openBandEditorOnInit=true,Imma Write A song.json,2024-03-12 23:44:08
https://www.hooktheory.com/theorytab/view/a-day-to-remember/downfall-of-us-all,intro-and-verse,https://hookpad.hooktheory.com?idOfSong=dPoDPqNRonM&amp;enableYouTube=false&amp;openBandEditorOnInit=true,Downfall Of Us All-11.json,2024-03-12 23:45:06
https://www.hooktheory.com/theorytab/view/a-day-to-remember/downfall-of-us-all,pre-chorus-and-chorus,https://hookpad.hooktheory.com?idOfSong=nJmBVrWkmAV&amp;enableYouTube=false&amp;openBandEditorOnInit=true,Downfall Of Us All-12.json,2024-03-12 23:45:15
https://www.hooktheory.com/theorytab/view/a-do/dark,verse,https://hookpad.hooktheory.com?idOfSong=RzojbJbnoDe&amp;enableYouTube=false&amp;openBandEditorOnInit=true,Dark.json,2024-03-12 23:45:24
https://www.hooktheory.com/theorytab/view/a-do/dark,pre-chorus,https://hookpad.hooktheory.com?idOfSong=YAg-lNlAmle&amp;enableYouTube=false&amp;openBandEditorOnInit=true,Dark-5.json,2024-03-12 23:47:39
https://www.hooktheory.com/theorytab/view/a-do/dark,chorus,https://hookpad.hooktheory.com?idOfSong=QLgnwKwZx-V&amp;enableYouTube=false&amp;openBandEditorOnInit=true,Dark-6.json,2024-03-12 23:47:48
https://www.hooktheory.com/theorytab/view/a-do/he-loves-you-very-much,verse,https://hookpad.hooktheory.com?idOfSong=JNgqkjOWorz&amp;enableYouTube=false&amp;openBandEditorOnInit=true,He Loves You Very Much.json,2024-03-12 23:47:57
https://www.hooktheory.com/theorytab/view/a-do/he-loves-you-very-much,pre-chorus,https://hookpad.hooktheory.com?idOfSong=zngRyeKMmJj&amp;enableYouTube=false&amp;openBandEditorOnInit=true,He Loves You Very Much-2.json,2024-03-12 23:48:07
